titulo_documento_origem,titulo_documento_destino,Recomendacoes
Islândia - Roteiro,Estação Ecológica de Juréia-Itatins,2
Aplicativo - The Weather Channel - Previsão Meteorológica ,Estação Ecológica de Murici,2
Barcelona - Bicing,Estação Ecológica de Murici,2
Frutillar - Museo Colonial Alemán,Estação Ecológica de Murici,2
Santiago - Restaurante Fukai Sushi Lounge and Asian Bistro,Estação Ecológica de Pirapitinga,14
Campinas - Passeio de Maria Fumaça,Estação Ecológica de Pirapitinga,2
Santiago - City Tour em Ônibus Hop-On Hop-Off,Estação Ecológica de Pirapitinga,2
Barcelona - Bicing,Estação Ecológica de Pirapitinga,1
Fernando de Noronha - Ilha Tour,Estação Ecológica de Pirapitinga,1
Barreirinhas - Passeio de Voadeira pelo Rio Preguiças,Estação Ecológica de Santa Bárbara,2
Barreirinhas - Restaurante Marina Tropical,Estação Ecológica de Santa Bárbara,2
Revelando a Foto - Cotidiano em Tiradentes,Estação Ecológica de Santa Bárbara,2
Caburé - Almoço na Pousada do Paulo,Estação Ecológica de Santa Bárbara,1
Caburé - Passeando entre o Rio e o Mar,Estação Ecológica de Santa Bárbara,1
Caeté - Serra da Piedade,Estação Ecológica de Taiamã,2
Santiago - Cerro San Cristóbal,Estação Ecológica de Taiamã,1
Revelando a Foto - Moldura da Praia do Sancho,Estação Ecológica de Tamoios,6
Fernando de Noronha - Parque Nacional Marinho,Estação Ecológica de Tamoios,5
Fernando de Noronha - Ilha Tour,Estação Ecológica de Tamoios,5
Revelando a Foto - Pássaro em San Francisco,Estação Ecológica de Tamoios,4
Revelando a Foto - Pôr do Sol no Porto em Fernando de Noronha,Estação Ecológica de Tamoios,3
Revelando a Foto - Igrejas em Mariana,Estação Ecológica de Águas Emendadas,2
Barreirinhas - Restaurante Marina Tropical,Estação Ecológica de Águas Emendadas,1
Cardosa - Flutuação no Rio Formiga,Estação Ecológica de Águas Emendadas,1
Barcelona - Bicing,Estação Ecológica do Barreiro Rico,1
Mandacaru - Visitando o Farol Preguiças,Estação Ecológica do Barreiro Rico,1
Revelando a Foto - Bridalveil Falls,Estação Ecológica do Barreiro Rico,1
Revelando a Foto - Exposição Albinos,Estação Ecológica do Barreiro Rico,1
Revelando a Foto - Inspiration Point no Bryce Canyon,Estação Ecológica do Barreiro Rico,1
Belo Horizonte - Caminhada da Lua Cheia,Estação Ecológica do Pau-Brasil,10
Belo Horizonte - Lua Cheia no Museu 2013,Estação Ecológica do Pau-Brasil,8
Puerto Montt - Diversão para as Crianças,Estação Ecológica do Pau-Brasil,4
Santiago - Vinícola Concha y Toro,Estação Ecológica do Pau-Brasil,4
Belo Horizonte - Memorial Minas Gerais - Vale,Estação Ecológica do Pau-Brasil,2
Fernando de Noronha - Mergulho,Estação Ecológica do Taim,1
Blogueiros Por Minas - Parque Estadual do Rio Preto,Estação Ecológica dos Caetetus,3
Parque Estadual do Rio Preto - Como Planejar sua Viagem,Estação Ecológica dos Caetetus,2
Chapada dos Guimarães - Pousada Casa da Quineira,Estação Ecológica dos Caetetus,1
Revelando a Foto - Schwabacher Landing,Estação Ecológica dos Caetetus,1
Islândia - Como Organizar uma Viagem de Campervan,Estação Ecológica dos Tupiniquins,1
Barcelona - Curso de Fotografia ,Estação ecológica,6
Fernando de Noronha - Mergulho,Estação ecológica,4
Fernando de Noronha - Pousada del Mares,Estação ecológica,4
Lençóis Maranhenses - Lagoa dos Peixes,Estação ecológica,4
Barcelona - Bicing,Estação ecológica,3
Puerto Varas - Iglesia del Sagrado Corazón de Jesus,Estação salitreira,4
Santiago - City Tour em Ônibus Hop-On Hop-Off,Estação salitreira,3
Bariloche - Centro Cívico,Estação salitreira,2
Frutillar - Um Pedaço da Alemanha no Chile,Estação salitreira,2
Santiago - Post índice,Estação salitreira,2
Revelando a Foto - Opal Pool no Yellowstone,Esteros del Iberá,1
Revelando a Foto - Barco no Lago Espejo Chico,Estreito Icy,4
Revelando a Foto - Orca no Sea World,Estreito Icy,1
Revelando a Foto - Vassouras,Estreito Icy,1
Routeburn Track - Caminhando pelas montanhas até o Lake Mackenzie,Estreito Icy,1
Chapada dos Guimarães - Mirante do Centro Geodésico,Estreito de Beagle,8
Revelando a Foto - Blue Pools,Estreito de Beagle,6
Revelando a Foto - Tucano em Abaeté,Estreito de Beagle,6
Santiago - Palacio de la Moneda,Estreito de Beagle,6
Região dos Lagos Chilenos - Roteiro Volta ao Lago Llanquihue,Estreito de Beagle,6
Workshop de Fotografia de Montanha,Estreito de Bering,6
Kenai Fjords National Park - Passeio de Barco no Alasca,Estreito de Bering,4
Revelando a Foto - Urso no Denali National Park,Estreito de Bering,4
Seward - Alaska SeaLife Center,Estreito de Bering,4
Blogagem Coletiva - Cores de Viagem,Estreito de Bering,4
De Anchorage ao Denali - Dirigindo pela Alaska Highway 3,Estreito de Chatham,2
Alasca - Roteiro,Estreito de Chatham,1
Kenai Fjords National Park - Trilha do Exit Glacier,Estreito de Chatham,1
Revelando a Foto - Lake Powell,Estreito de Chatham,1
Revelando a Foto - Galeria Adriana Varejão,Estreito de Clarence,4
Revelando a Foto - Cinderela no Magic Kingdom,Estreito de Clarence,2
Nova Zelândia - Visitando Wanaka,Estreito de Clarence,1
Revelando a Foto - Inspiration Point no Bryce Canyon,Estreito de Clarence,1
Revelando a Foto - Orca no Sea World,Estreito de Clarence,1
Routeburn Track - Do Lake Mackenzie Hut ao The Divide,Estreito de Cook,22
Nova Zelândia - Visitando Wanaka,Estreito de Cook,18
Nova Zelândia - Routeburn Track e as Great Walks Neozelandesas,Estreito de Cook,11
Nova Zelândia - O Incrível Azul das Blue Pools,Estreito de Cook,8
Routeburn Track - Caminhando pelas montanhas até o Lake Mackenzie,Estreito de Cook,8
Namíbia - Roteiro,Estreito de Foveaux,1
Nova Zelândia - O Incrível Azul das Blue Pools,Estreito de Foveaux,1
Revelando a Foto - Opal Pool no Yellowstone,Estreito de Foveaux,1
São Luís - Teatro Arthur Azevedo,Estreito de Foveaux,1
"Vídeo da Ponta do Campestre, Chapada dos Guimarães",Estreito de Le Maire,2
Workshop de Fotografia de Montanha,Estreito de Shelikhov,3
Jalapão - Um Refresco para o Calor,Estreito de Shelikhov,1
Revelando a Foto - Escadas da Sagrada Família,Estreito de Shelikhov,1
Revelando a Foto - Vassouras,Estreito de Shelikhov,1
Revelando a Foto - Bear Lake State Tabernacle,Estreito de Tamaki,3
Inhotim - Em Busca da Flor Cadáver,Estreito de Tamaki,2
Islândia - Como Dirigir,Estreito de Tamaki,2
Nova Zelândia - Roteiro,Estreito de Tamaki,2
Revelando a Foto - Government Gardens em Rotorua,Estreito de Tamaki,2
Puerto Octay - Restaurante Rancho Espantapájaros,Estância da Harmonia,4
Dicas - Como se Comportar em Habitats de Ursos,Estância da Harmonia,2
Frutillar - Em Preto e Branco,Estância da Harmonia,2
Revelando a Foto - Old Faithful Geyser,Estância da Harmonia,2
Seward Highway - Alaska Wildlife Conservation Center,Estância da Harmonia,2
Revelando a Foto - Dia das Crianças,Etimologia dos nomes das unidades federativas dos Estados Unidos,4
Revelando a Foto - Mount Moran,Etimologia dos nomes das unidades federativas dos Estados Unidos,4
Revelando a Foto - Pôr do sol na Praia da Conceição,Etimologia dos nomes das unidades federativas dos Estados Unidos,4
Alasca - Visitando o Denali National Park and Preserve,Etimologia dos nomes das unidades federativas dos Estados Unidos,3
Inhotim - Em Busca da Flor Cadáver,Etimologia dos nomes das unidades federativas dos Estados Unidos,3
Curitiba - Hotel CWB Express,Expedição Astor,2
Curitiba - Mercado Municipal,Expedição Astor,2
Curitiba - Vem Pro Abraço,Expedição Astor,2
Guarulhos - Hotel Slaviero Executive Guarulhos,Expedição Astor,2
Revelando a Foto - Basílica de la Sagrada Família,Expedição Astor,2
Bariloche - Catedral Nuestra Señora del Nahuel Huapi,Expedição Libertadora do Peru,1
Jalapão - Capim Dourado,Expedição Libertadora do Peru,1
Puerto Varas - Iglesia del Sagrado Corazón de Jesus,Expedição Libertadora do Peru,1
Revelando a Foto - Cotidiano em Tiradentes,Expedição Libertadora do Peru,1
Revelando a Foto - Igreja Nossa Senhora do Carmo,Expedição Libertadora do Peru,1
Revelando a Foto - Rio de Las Vueltas,Expedição Sullivan,8
Porque Gostamos de Voar pela LAN,Expedição Sullivan,7
Revelando a Foto - Ninho do Pássaro,Expedição Sullivan,6
Revelando a Foto - Ponte do Brooklyn em NY,Expedição Sullivan,5
Revelando a Foto - Pôr do sol na Praia da Conceição,Expedição Sullivan,5
Islândia - Como se Manter Conectado,Exploração sustentável,4
Revelando a Foto - Jokhang Temple em Lhasa,Exploração sustentável,4
Quando ir para a Islândia,Exploração sustentável,4
Revelando a Foto - Old Faithful Geyser,Exploração sustentável,2
Vassouras - Pequenos Lençóis,Exploração sustentável,2
Revele sua Foto - Abismo Anhumas,Extremo Norte do Alasca,7
Revelando a Foto - Riacho do Glaciar Huemul,Extremo Norte do Alasca,4
Namíbia - Roteiro,Extremo Norte do Alasca,3
Puerto Natales - Um descanso antes do Circuito W,Extremo Norte do Alasca,2
Revelando a Foto - Arches National Park,Extremo Norte do Alasca,2
Puerto Octay - Arquitetura Alemã e Vulcões,Exxon Valdez,2
Revelando a Foto - Coiote no Yellowstone National Park,Exxon Valdez,2
Tiradentes - Restaurante Archote Clube,Exxon Valdez,2
Verão no Chile - Cuidado com os Tábanos,Exxon Valdez,2
Aparecida - Sala das Promessas,Exército dos Andes,2
Alasca - Visita ao Portage Valley,Exército dos Andes,1
Aparecida - Passeando de Bondinho,Exército dos Andes,1
Bariloche - Catedral Nuestra Señora del Nahuel Huapi,Exército dos Andes,1
Caburé - Passeando entre o Rio e o Mar,Exército dos Andes,1
Bariloche - Centro Cívico,Facundo: Civilização e Barbárie,7
São Luís - Cidade dos Azulejos,Facundo: Civilização e Barbárie,7
Revelando a Foto - Niagara Falls,Facundo: Civilização e Barbárie,7
Cardosa - Flutuação no Rio Formiga,Facundo: Civilização e Barbárie,4
Revelando a Foto - Prédios em NY,Facundo: Civilização e Barbárie,4
Revelando a Foto - Alamo Square em San Francisco,Fakaofo,5
Revelando a Foto - Vista Aérea do Grand Canyon,Fakaofo,4
El Chaltén - Volta à Laguna de los Tres,Fakaofo,4
El Chalten - Trilha para a Loma del Pliegue Tumbado,Fakaofo,3
Hard Rock Hotel & Casino Punta Cana - Suíte Caribe,Fakaofo,3
Blogagem Coletiva - 12 Posts Especiais de 2012,Falha Magalhães-Fagnano,2
Blogs de Viagens,Falha Magalhães-Fagnano,2
Frutillar - Um Pedaço da Alemanha no Chile,Falha Magalhães-Fagnano,2
Revelando a Foto - Alamo Square em San Francisco,Falha Magalhães-Fagnano,2
Revelando a Foto - Amanhecer no John Moulton Barn,Falha Magalhães-Fagnano,2
Revelando a Foto - Igreja Nossa Senhora do Carmo,Falha de Santo André,18
Revelando a Foto - Maria Fumaça em Tiradentes,Falha de Santo André,17
Vídeo - Episódio Maria Fumaça em Campinas,Falha de Santo André,15
Revelando a Foto - São João em São Luís,Falha de Santo André,14
Revelando a Foto - Cemitério da Igreja de São Francisco de Assis,Falha de Santo André,13
Revelando a Foto - Dia das Crianças,Falso Azufre,3
Santiago - Cerro Santa Lucía,Falso Azufre,3
Bariloche - Cerro Tronador e Cascada los Alerces,Falso Azufre,1
El Chaltén - Lago del Desierto e Glaciar Huemul,Falso Azufre,1
São Luís - Post Índice,Falso Azufre,1
Revelando a Foto - Laguna de Los Tres,Falso Cabo Horn,4
Revelando a Foto - Romance em Fernando de Noronha,Falso Cabo Horn,3
El Chalten - Trilha para a Loma del Pliegue Tumbado,Falso Cabo Horn,3
Vídeo - Episódio Laguna Torre,Falso Cabo Horn,3
Revele sua Foto - Abismo Anhumas,Falso Cabo Horn,3
Circuito W - Vale Francês,Farm Loop,1
Revelando a Foto - Rio de Las Vueltas,Farm Loop,1
,Farmington (Connecticut),6
São Luís - Teatro Arthur Azevedo,Farmington (Connecticut),5
De Anchorage ao Denali - Dirigindo pela Alaska Highway 3,Farmington (Connecticut),2
Revelando a Foto - Vassouras,Farmington (Connecticut),2
Santiago - Entardecer no Cerro San Cristóbal,Farmington (Connecticut),2
Puerto Montt - Diversão para as Crianças,Fazenda Raposa,6
São João del Rei - Garden Hill Small Resort,Fazenda Raposa,4
Revelando a Foto - Montserrat,Fazenda Raposa,4
Revelando a Foto - Namoradeira em Tiradentes,Fazenda Raposa,3
Revelando a Foto - Preto e branco em San Francisco,Fazenda Raposa,3
"Puerto Varas - Restaurante, Cafeteria e Chocolateria Cassis",Fazendinha da Penha,6
Revelando a Foto - Barco no Lago Espejo Chico,Fazendinha da Penha,4
Belo Horizonte - Restaurante Maria das Tranças,Fazendinha da Penha,3
Puerto Montt - Explorando a Região Portuária,Fazendinha da Penha,2
Revelando a Foto - Copa do Mundo,Fazendinha da Penha,2
Hobbiton - Cidade dos Hobbits na Nova Zelândia,Feilding,2
Aparecida - Sala das Promessas,Feilding,1
Islândia - Como Organizar uma Viagem de Campervan,Feilding,1
Nova Zelândia - Routeburn Track e as Great Walks Neozelandesas,Feilding,1
Revelando a Foto - Cemitério da Igreja de São Francisco de Assis,Feilding,1
Revelando a Foto - Silhueta nos Lençóis Maranhenses,Feira Tecnópolis,9
São Luís - Post Índice,Feira Tecnópolis,9
Revelando a Foto - Pássaro em San Francisco,Feira Tecnópolis,8
Revelando a Foto - Namoradeira em Tiradentes,Feira Tecnópolis,6
Bariloche - Cerro Campanario,Feira Tecnópolis,4
Fernando de Noronha - Ilha Tour,Fernando de Noronha,7
Kenai Fjords National Park - Trilha do Exit Glacier,Fernando de Noronha,7
Fernando de Noronha - Pousada del Mares,Fernando de Noronha,2
,Fernando de Noronha,1
Circuito W - A Chegada ao Parque Torres del Paine,Fernando de Noronha,1
El Chaltén - Trekking no Glaciar Viedma,Fiorde Almirantazgo,5
Bariloche - Isla Victoria y Bosque de Arrayanes,Fiorde Almirantazgo,2
Revelando a Foto - Moldura no Central Park,Fiorde Almirantazgo,2
Revelando a Foto - Ninho do Pássaro,Fiorde Almirantazgo,2
Blogueiros Por Minas - Parque Estadual do Rio Preto,Fiorde Almirantazgo,1
Routeburn Track - Caminhando pelas montanhas até o Lake Mackenzie,Fiordland,59
Routeburn Track - Do Lake Mackenzie Hut ao The Divide,Fiordland,54
Nova Zelândia - Roteiro,Fiordland,49
Nova Zelândia - Routeburn Track e as Great Walks Neozelandesas,Fiordland,45
Routeburn Track - Do Routeburn Shelter ao Routeburn Falls Hut,Fiordland,23
Revelando a Foto - Frutillar,Fishhook,1
Chile - Não Durma no Voo,Flat (Alasca),1
El Chaltén - Trilha para o Chorrillo del Salto,Flat (Alasca),1
Revelando a Foto - Barco no Lago Espejo Chico,Flat (Alasca),1
Revelando a Foto - Coiote no Yellowstone National Park,Flat (Alasca),1
Belo Horizonte - Decoração de Natal da Praça da Liberdade,Flora Ameaçada do Rio Grande do Sul,2
Belo Horizonte - Caminhada da Lua Cheia,Flora Ameaçada do Rio Grande do Sul,1
Belo Horizonte - Espaço TIM UFMG do Conhecimento,Flora Ameaçada do Rio Grande do Sul,1
Dicas - Como se Comportar em Habitats de Ursos,Flora Ameaçada do Rio Grande do Sul,1
Revelando a Foto - Coiote no Yellowstone National Park,Flora Ameaçada do Rio Grande do Sul,1
Belo Horizonte - Caminhada da Lua Cheia,Flora Brasileira Ameaçada de Extinção,8
Puerto Montt - Explorando a Região Portuária,Flora Brasileira Ameaçada de Extinção,6
Revelando a Foto - Jokhang Temple em Lhasa,Flora Brasileira Ameaçada de Extinção,6
Caeté - Serra da Piedade,Flora Brasileira Ameaçada de Extinção,5
Inhotim - Em Busca da Flor Cadáver,Flora Brasileira Ameaçada de Extinção,5
Revelando a Foto - Silhueta nos Lençóis Maranhenses,Floresta Estacional Sempre-Verde,4
Santiago - Tirando suas dúvidas - Ask me,Floresta Estacional Sempre-Verde,3
Revelando a Foto - Dia das Crianças,Floresta Estacional Sempre-Verde,3
Revelando a Foto - Rio del Diablo,Floresta Estacional Sempre-Verde,2
São Luís - Post Índice,Floresta Estacional Sempre-Verde,2
Revelando a Foto - Outubro Rosa,Floresta Estadual do Uaimii,2
Parque Nacional Lanín - Passeando entre Lagos e o Vulcão Lanín,Floresta Nacional Los Padres,6
Paso Córdoba - De San Martín de los Andes a Bariloche,Floresta Nacional Los Padres,4
Revelando a Foto - Trekking no Glaciar Perito Moreno,Floresta Nacional Los Padres,3
Livro - Papo de Viagem & Outras Histórias de Bar,Floresta Nacional Los Padres,2
Revelando a Foto - Arches National Park,Floresta Nacional Los Padres,2
Blogueiros Por Minas - Parque Estadual do Rio Preto,Floresta Nacional do Araripe-Apodi,4
Caeté - Serra da Piedade,Floresta Nacional do Araripe-Apodi,2
Fernando de Noronha - Parque Nacional Marinho,Floresta Nacional do Araripe-Apodi,2
Revelando a Foto - Orca no Sea World,Floresta Nacional do Araripe-Apodi,2
Revelando a Foto - Urso no Denali National Park,Floresta Nacional do Araripe-Apodi,2
Revelando a Foto - Mount Moran,Floresta de galeria,3
Revelando a Foto - Moldura de Paisagem,Floresta de galeria,2
Chile - Não Durma no Voo,Floresta de galeria,2
Revelando a Foto - Parque das Aves,Floresta de galeria,2
Revelando a Foto - Outubro Rosa,Floresta de galeria,2
Barreirinhas - Restaurante Marina Tropical,Floresta paludosa,16
Barreirinhas - Restaurante Barlavento,Floresta paludosa,15
São Paulo - Hotel Quality Suites Oscar Freire,Floresta paludosa,9
Atins - O Famoso Camarão da Luzia,Floresta paludosa,6
Curitiba - Artesanilo Café Bistrô,Floresta paludosa,6
Santiago - Restaurante Aquí Está Coco,Florida (Chile),10
Caeté - Serra da Piedade,Florida (Chile),1
Puerto Natales - Restaurante La Picada de Carlitos,Formação Hell Creek,4
Revelando a Foto - Glacier Point no Yosemite,Formação Hell Creek,4
Islândia - Como Dirigir,Formação Hell Creek,2
Islândia - Roteiro,Formação Hell Creek,2
Palmas - Pôr do Sol na Ilha da Canela,Formação Hell Creek,2
Revelando a Foto - McWay Falls,Formação Ranquil,4
Revelando a Foto - Antelope Canyon,Formação Ranquil,2
Revelando a Foto - Flores no Epcot,Formação Ranquil,2
Revelando a Foto - Lake Powell,Formação Ranquil,1
Revelando a Foto - Visão de Formiga em Tiradentes,Formação Ranquil,1
Revelando a Foto - Galeria Adriana Varejão,Formação de La Colónia,2
Revelando a Foto - Orca no Sea World,Formação de La Colónia,2
Fernando de Noronha - Mergulho,Formação de La Colónia,1
Frutillar - Um Pedaço da Alemanha no Chile,Formação de La Colónia,1
Inhotim - Em Busca da Flor Cadáver,Formação de La Colónia,1
Frutillar - Cidade Musical,Formação de Los Alamitos,1
Revelando a Foto - Dia das Crianças,Formação de Los Alamitos,1
El Chalten - Trilha para a Laguna del Diablo,Fort Astoria,8
Revelando a Foto - Laguna de Los Tres,Fort Astoria,7
El Chaltén - Volta à Laguna de los Tres,Fort Astoria,6
Caburé - Passeando entre o Rio e o Mar,Fort Astoria,4
El Calafate - Tour ao Glaciar Perito Moreno,Fort Astoria,4
Amanhecer em El Chaltén - Mirador de Los Condores,Fort Greely,2
El Calafate - Mini Trekking no Perito Moreno,Fort Kearny,3
Amanhecer em El Chaltén - Mirador de Los Condores,Fort Kearny,2
Revelando a Foto - Matriz de Santo Antônio,Fort Kearny,2
Alasca - Visita ao Portage Valley,Fort Kearny,1
Circuito W - Vale Francês,Fort Kearny,1
Kenai Fjords National Park - Trilha para o Harding Icefield,Fossa das Aleutas,2
El Calafate - Tour ao Glaciar Perito Moreno,Fossa das Aleutas,1
Revelando a Foto - Schwabacher Landing,Fossa das Aleutas,1
Santiago - Restaurante Aquí Está Coco,Fossa das Aleutas,1
Serra do Cipó - Trilha para Cachoeira da Farofa,Fossa das Aleutas,1
"Ponta do Campestre, linda vista da Chapada dos Guimarães",Fossa de Kermadec,1
Revelando a Foto - Bridalveil Falls,Fossa de Kermadec,1
Revelando a Foto - Government Gardens em Rotorua,Fossa de Kermadec,1
Revelando a Foto - Outubro Rosa,Fossa de Kermadec,1
Valle Nevado Ski Resort - Conhecendo a Estação de Esqui,Fossa de Kermadec,1
El Chalten - Trilha para a Laguna del Diablo,Four Mile Road,1
El Chalten - Trilha para a Loma del Pliegue Tumbado,Four Mile Road,1
Revelando a Foto - Pôr do Sol no Porto em Fernando de Noronha,Four Mile Road,1
Vídeo - Episódio Laguna Torre,Four Mile Road,1
Alasca - Roteiro,Fox River,2
Revelando a Foto - Estrada em Morada Nova de Minas,Frente País Solidário,4
Bariloche - Cervejaria Antares,Frente País Solidário,2
Belo Horizonte - Restaurante Maria das Tranças,Frente País Solidário,2
Puerto Montt - Palafitos de Angelmó - Restaurante 9,Frente País Solidário,2
Barcelona - Bicing,Frente País Solidário,1
Bariloche - Cervejaria Antares,Frente de Esquerda e dos Trabalhadores - Unidade,8
Revelando a Foto - Amanhecer no John Moulton Barn,Frente de Esquerda e dos Trabalhadores - Unidade,8
Revelando a Foto - Parque das Aves,Frente de Esquerda e dos Trabalhadores - Unidade,8
Revelando a Foto - Cemitério da Igreja de São Francisco de Assis,Frente de Esquerda e dos Trabalhadores - Unidade,8
Frutillar - Em Preto e Branco,Frente de Esquerda e dos Trabalhadores - Unidade,8
Revelando a Foto - Macrofotografia em Itacaré,Frente de Todos,12
Revelando a Foto - Capela das Velas em Aparecida,Frente de Todos,8
Revelando a Foto - Estrada em Morada Nova de Minas,Frente de Todos,8
Puerto Natales - Pizzaria Mesita Grande,Frente de Todos,8
Kenai Fjords National Park - Trilha para o Harding Icefield,Frente de Todos,5
Tiradentes - Uma Visão Geral da Cidade Histórica,Frente para a Vitória,10
Puerto Varas - Iglesia del Sagrado Corazón de Jesus,Frente para a Vitória,2
"Puerto Varas - Restaurante, Cafeteria e Chocolateria Cassis",Frente para a Vitória,2
Puerto Montt - Palafitos de Angelmó - Restaurante 9,Frente para a Vitória,2
Revelando a Foto - Cotidiano em Tiradentes,Frente para a Vitória,1
Revelando a Foto - Delicate Arch,Fresia,1
Revelando a Foto - Vagão de Trem em Campinas,Fresia,1
Frutillar - Um Pedaço da Alemanha no Chile,Frutillar,80
Puerto Octay - Arquitetura Alemã e Vulcões,Frutillar,52
Frutillar - Em Preto e Branco,Frutillar,42
Frutillar - Museo Colonial Alemán,Frutillar,32
Região dos Lagos Chilenos - Roteiro Volta ao Lago Llanquihue,Frutillar,25
Revelando a Foto - Outubro Rosa,Fundação de Parques Municipais,3
Atins - O Famoso Camarão da Luzia,Fundação de Parques Municipais,2
Bariloche - Cerro Campanario,Fundação de Parques Municipais,2
Belo Horizonte - Restaurante do Porto,Fundação de Parques Municipais,2
Puerto Montt - Explorando a Região Portuária,Fundação de Parques Municipais,2
Washington DC - Cemitério de Arlington,Furacão John (1994),33
Tauá Grande Hotel e Termas de Araxá - Lazer,Furacão John (1994),19
Aparecida - Passeando de Bondinho,Furacão John (1994),19
Revelando a Foto - Luz em Movimento em Diamantina,Furacão John (1994),16
Revelando a Foto - Schwabacher Landing,Furacão John (1994),15
Cinema no Rio - Levando a Sétima Arte às Comunidades Ribeirinhas do Rio São Francisco,Furacão Juliette (2001),4
Vídeo - Episódio Hard Rock Hotel & Casino Punta Cana,Furacão Juliette (2001),3
Bariloche - Restaurante La Lola,Furacão Juliette (2001),3
Bariloche - Post Índice,Furacão Juliette (2001),2
Chapada dos Guimarães - Mirante do Centro Geodésico,Furacão Juliette (2001),2
Blogagem Coletiva - Foto Jacu: Você ainda vai ter uma!,Fusos horários no Brasil,2
Fernando de Noronha - Ilha Tour,Fusos horários no Brasil,2
Islândia - Como Organizar uma Viagem de Campervan,Fusos horários no Brasil,2
Lençóis Maranhenses - Lagoa dos Peixes,Fusos horários no Brasil,2
Nova Zelândia - Visitando Wanaka,Fusos horários no Brasil,2
Bariloche - Post Índice,Futaleufú,15
Do Chile a Argentina sob Cinzas Vulcânicas,Futaleufú,6
Chapada dos Guimarães - Mirante Morro dos Ventos,Futaleufú,4
Revelando a Foto - Mesa Arch,Futaleufú,4
Villa Traful - Um Desvio Prazeroso na Rota dos Sete Lagos,Futaleufú,4
Revelando a Foto - Vulcão Osorno,Futrono,4
Puerto Octay - Restaurante Rancho Espantapájaros,Futrono,2
Do Chile a Argentina sob Cinzas Vulcânicas,Futrono,1
Revelando a Foto - Antelope Canyon,Futrono,1
Revelando a Foto - Parc Guell,Futrono,1
Revelando a Foto - Detalhes em Caeté,Galen Clark,2
Revelando a Foto - Moldura no Central Park,Galen Clark,1
Belo Horizonte - Caminhada da Lua Cheia,Galán,1
Quando ir para a Islândia,Galán,1
Revelando a Foto - Frutillar,Galán,1
Revelando a Foto - Niagara Falls,Galán,1
Revelando a Foto - Parque Nacional Lanín,Galán,1
Belo Horizonte - Espaço TIM UFMG do Conhecimento,Gambell,7
Caeté - Serra da Piedade,Gambell,7
Revelando a Foto - Moldura de Paisagem,Gambell,5
Puerto Varas - Iglesia del Sagrado Corazón de Jesus,Gambell,4
Revelando a Foto - Forrest Gump Point e Monument Valley,Gambell,4
Parque Nacional Lanín - Navegando pelos Lagos Huechulafquen e Epulafquen,Geleira Margerie,13
Workshop de Fotografia de Montanha,Geleira Margerie,10
Fernando de Noronha - Parque Nacional Marinho,Geleira Margerie,10
De Anchorage ao Denali - Dirigindo pela Alaska Highway 3,Geleira Margerie,4
El Chaltén - Lago del Desierto e Glaciar Huemul,Geleira Margerie,4
El Calafate - Estancia Cristina,Geleira Perito Moreno,16
Puerto Montt - Palafitos de Angelmó - Restaurante 15,Geleira Perito Moreno,14
El Calafate - Passeio de Barco por Todos Los Glaciares,Geleira Perito Moreno,12
El Calafate - Tour ao Glaciar Perito Moreno,Geleira Perito Moreno,11
Atacama - Salar de Atacama,Geleira Perito Moreno,10
Amanhecer em El Chaltén - Mirador de Los Condores,Geleiras da Nova Zelândia,5
Barcelona - Curso de Fotografia ,Geleiras da Nova Zelândia,5
El Chaltén - Trilha para o Chorrillo del Salto,Geleiras da Nova Zelândia,5
Hobbiton - Cidade dos Hobbits na Nova Zelândia,Geleiras da Nova Zelândia,5
Nova Zelândia - O Incrível Azul das Blue Pools,Geleiras da Nova Zelândia,5
Bariloche - Cerro Tronador e Cascada los Alerces,General Carrera (província),1
Bariloche - Post Índice,General Carrera (província),1
Parque Nacional Lanín - Navegando pelos Lagos Huechulafquen e Epulafquen,General Carrera (província),1
Verão no Chile - Cuidado com os Tábanos,General Carrera (província),1
Villa Traful - Um Desvio Prazeroso na Rota dos Sete Lagos,General Carrera (província),1
Puerto Octay - Restaurante Rancho Espantapájaros,General Lagos,3
Alasca - Visita ao Portage Valley,General Lagos,1
El Calafate - Estancia Cristina,General Lagos,1
Seward Highway - Entre Montanhas e Glaciares no Alasca,General Lagos,1
São Luís - Centro de Cultura Popular Domingos Vieira Filho,General Lagos,1
Revelando a Foto - Passeio no deserto de Dubai,General Sherman (árvore),4
Revelando a Foto - Bridalveil Falls,General Sherman (árvore),2
Vídeo - Episódio Cachoeira da Farofa na Serra do Cipó,General Sherman (árvore),2
"Cachoeira da Maçã, Bela Surpresa da Cabeça de Boi",General Sherman (árvore),1
Revelando a Foto - Ninho do Pássaro,General Sherman (árvore),1
Blogagem Coletiva - Cores de Viagem,Genocídio Selk'nam,8
Revelando a Foto - Grand Prismatic Spring,Genocídio Selk'nam,4
Tauá Grande Hotel e Termas de Araxá - Lazer,Genocídio Selk'nam,4
Belo Horizonte - Mirante do Mangabeiras,Genocídio Selk'nam,2
Hobbiton - Cidade dos Hobbits na Nova Zelândia,Genocídio Selk'nam,2
El Calafate - Passeio de Barco por Todos Los Glaciares,Geografia da Argentina,4
El Calafate - Tour ao Glaciar Perito Moreno,Geografia da Argentina,4
Alasca - Visita ao Portage Valley,Geografia da Argentina,2
Circuito W - A Chegada ao Parque Torres del Paine,Geografia da Argentina,2
